pattern,demand_profile,demand_band,request_every_seconds,offered_per_minute,burst_size,seed,policy,routing_policy,shared_ride_party_limit,shared_parties,focus_station,window_start_seconds,window_end_seconds,actual_end_seconds,arrival_window_seconds,arrival_end_seconds,schedule_id,scheduled,served,remaining,skipped,completed_at_arrival_end,backlog_at_arrival_end,arrival_throughput_per_minute,completed_at_arrival_midpoint,backlog_at_arrival_midpoint,late_arrival_throughput_per_minute,late_backlog_change,drained,drain_seconds,peak_pending,peak_outstanding,peak_active_vehicles,peak_passenger_vehicles,peak_stopped_vehicles,peak_focus_approaching,peak_focus_entrance_stopped,peak_focus_exit_stopped,peak_focus_occupied_berths,peak_focus_reserved_empty_berths,queue_cleared,queue_clear_seconds,wait_average_seconds,wait_maximum_seconds,passenger_distance_meters,empty_distance_meters,loaded_distance_percent,positioning_moves
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,1,off,free-flow,1,0,940GZZLUEUS,0,3600,2589,1800,1740,9528258c1baa82ba,29,29,0,0,19,10,0.6333333333333333,6,8,0.8666666666666667,2,true,789,4,11,29,9,0,0,0,0,1,0,true,211,84.80804597701149,270.55,177723.30450795664,215677.02183005496,45.17619651267291,0
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,2,off,free-flow,1,0,940GZZLUEUS,0,3600,2498,1800,1740,bb5eef7e7cabdb3b,29,29,0,0,20,9,0.6666666666666666,7,7,0.8666666666666667,2,true,698,4,12,32,10,0,0,0,0,1,1,true,190,104.74655172413794,274.6666666666667,189004.33974794074,217139.2529822098,46.53633422539766,0
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,3,off,free-flow,1,0,940GZZLUEUS,0,3600,2568,1800,1740,47735eda4f594ac0,29,29,0,0,21,8,0.7,6,8,1,0,true,768,4,12,30,9,1,0,0,0,1,0,true,231,97.46724137931034,290.6666666666667,182824.7436933254,215546.15564682503,45.89309711029365,0
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,1,off,free-flow,1,0,940GZZLUEUS,0,3600,2524,1800,1770,383a7529680b260f,59,59,0,0,35,24,1.1666666666666667,13,16,1.4666666666666666,8,true,724,10,26,51,20,2,0,0,0,1,1,true,238,150.66525423728814,370.75,368564.11631230573,407002.6376789738,47.521907613441854,0
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,2,off,free-flow,1,0,940GZZLUEUS,0,3600,2487,1800,1770,d1340ee5a623df89,59,59,0,0,37,22,1.2333333333333334,11,18,1.7333333333333334,4,true,687,10,25,51,17,1,0,0,0,1,1,true,228,173.94915254237287,360.0833333333333,373709.21374175686,443614.742858346,45.7235115554803,0
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,3,off,free-flow,1,0,940GZZLUEUS,0,3600,2719,1800,1770,badaff981b31ddb7,59,59,0,0,40,19,1.3333333333333333,10,19,2,0,true,919,8,23,49,18,1,0,0,0,1,1,true,374,143.3364406779661,382.95,369354.10868015693,446658.29785456555,45.26329571981089,0
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,1,off,free-flow,1,0,940GZZLUEUS,0,3600,2711,1800,1780,4a2d770f2630dd23,89,89,0,0,51,38,1.7,17,27,2.2666666666666666,11,true,911,16,38,62,27,2,0,0,0,1,1,true,306,197.74588014981273,430.28333333333336,556821.843185139,658883.1689985935,45.80238113725776,0
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,2,off,free-flow,1,0,940GZZLUEUS,0,3600,2732,1800,1780,19332ce46bf440c5,89,89,0,0,56,33,1.8666666666666667,14,30,2.8,3,true,932,15,38,62,29,2,0,0,0,1,1,true,312,191.54475655430713,418.45,549566.9819424812,649069.7471293809,45.84933605096736,0
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,3,off,free-flow,1,0,940GZZLUEUS,0,3600,2781,1800,1780,1023c2b2435ed2d7,89,89,0,0,55,34,1.8333333333333333,18,26,2.466666666666667,8,true,981,14,35,58,24,2,0,0,0,1,1,true,360,185.83595505617978,419.5833333333333,558468.1410296402,613687.8062972035,47.64452565405251,0
profile,tfl-numbat-2019-midweek,early,15,3.966666666666667,1,1,off,free-flow,1,0,940GZZLUEUS,0,3600,2887,1800,1785,1609c532807f9008,119,119,0,0,71,48,2.3666666666666667,23,36,3.2,12,true,1087,23,52,77,32,3,0,0,0,1,1,true,491,262.85364145658264,514.3,765192.8032126691,907566.1670625182,45.744355092998624,0
