pattern,demand_profile,demand_band,request_every_seconds,offered_per_minute,burst_size,seed,policy,routing_policy,shared_ride_party_limit,shared_parties,focus_station,window_start_seconds,window_end_seconds,actual_end_seconds,arrival_window_seconds,arrival_end_seconds,schedule_id,scheduled,served,remaining,skipped,completed_at_arrival_end,backlog_at_arrival_end,arrival_throughput_per_minute,completed_at_arrival_midpoint,backlog_at_arrival_midpoint,late_arrival_throughput_per_minute,late_backlog_change,drained,drain_seconds,peak_pending,peak_outstanding,peak_active_vehicles,peak_passenger_vehicles,peak_stopped_vehicles,peak_focus_approaching,peak_focus_entrance_stopped,peak_focus_exit_stopped,peak_focus_occupied_berths,peak_focus_reserved_empty_berths,queue_cleared,queue_clear_seconds,wait_average_seconds,wait_maximum_seconds,passenger_distance_meters,empty_distance_meters,loaded_distance_percent,positioning_moves
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2503,1800,1740,9528258c1baa82ba,29,29,0,0,21,8,0.7,7,7,0.9333333333333333,1,true,703,3,9,9,9,6,1,0,0,2,1,true,124,51.520114942528735,183.83333333333334,176563.26653690892,472014.88742404664,27.22312884863804,52
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2394,1800,1740,bb5eef7e7cabdb3b,29,29,0,0,21,8,0.7,6,8,1,0,true,594,3,12,12,10,2,1,0,0,2,1,true,65,75.31724137931035,184.45,187292.1062243358,475039.7160816919,28.277684978542112,50
profile,tfl-numbat-2019-midweek,early,60,0.9666666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,2344,1800,1740,47735eda4f594ac0,29,29,0,0,22,7,0.7333333333333333,6,8,1.0666666666666667,-1,true,544,2,11,11,10,1,1,0,0,2,1,true,10,48.91379310344828,178.46666666666667,181178.84282993662,455679.50841494807,28.448844625462055,51
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2511,1800,1770,383a7529680b260f,59,59,0,0,35,24,1.1666666666666667,13,16,1.4666666666666666,8,true,711,9,26,26,20,1,2,0,0,2,2,true,216,148.98728813559322,355.4,364711.6016880924,581726.1526461409,38.53519156625857,45
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2514,1800,1770,d1340ee5a623df89,59,59,0,0,36,23,1.2,11,18,1.6666666666666667,5,true,714,9,25,25,17,1,2,0,0,1,2,true,182,178.8282485875706,357.01666666666665,370118.25030689326,597192.887094628,38.26258542842156,44
profile,tfl-numbat-2019-midweek,early,30,1.9666666666666666,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,2714,1800,1770,badaff981b31ddb7,59,59,0,0,40,19,1.3333333333333333,11,18,1.9333333333333333,1,true,914,8,22,22,16,1,2,0,0,2,2,true,370,152.65141242937852,369.01666666666665,365142.5610805135,586520.1146206952,38.368906378666935,42
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2660,1800,1780,4a2d770f2630dd23,89,89,0,0,52,37,1.7333333333333334,18,26,2.2666666666666666,11,true,860,16,38,38,28,1,2,0,0,2,2,true,288,191.91029962546818,409.1333333333333,551401.1634924625,773551.6386269256,41.616664579330205,44
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2751,1800,1780,19332ce46bf440c5,89,89,0,0,61,28,2.033333333333333,14,30,3.1333333333333333,-2,true,951,15,36,36,27,2,2,0,0,1,2,true,338,194.75187265917603,401.46666666666664,544186.9494197916,764643.7343090419,41.57810144467376,39
profile,tfl-numbat-2019-midweek,early,20,2.966666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,2707,1800,1780,1023c2b2435ed2d7,89,89,0,0,55,34,1.8333333333333333,18,26,2.466666666666667,8,true,907,13,36,36,24,1,2,0,0,1,2,true,285,179.55168539325842,385.3833333333333,553119.8060824361,744473.8395681216,42.62658097444101,39
profile,tfl-numbat-2019-midweek,early,15,3.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2860,1800,1785,1609c532807f9008,119,119,0,0,73,46,2.433333333333333,23,36,3.3333333333333335,10,true,1060,24,52,52,32,2,2,0,0,1,2,true,451,248.3829131652661,472.56666666666666,757271.2213680892,1038803.4914535354,42.1625679579008,43
profile,tfl-numbat-2019-midweek,early,15,3.966666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2837,1800,1785,c5ea67b17f25e70e,119,119,0,0,78,41,2.6,17,42,4.066666666666666,-1,true,1037,20,47,47,32,2,2,0,0,2,2,true,447,224.8060224089636,469.85,726431.8819132334,977020.5588965003,42.644682323383506,42
profile,tfl-numbat-2019-midweek,early,15,3.966666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,2853,1800,1785,a02f25ab84cc8d7d,119,119,0,0,75,44,2.5,22,37,3.533333333333333,7,true,1053,19,48,47,31,1,2,0,0,2,2,true,423,212.16988795518208,460.35,744482.9727742492,938640.1856278233,44.23223393117876,39
profile,tfl-numbat-2019-midweek,early,12,4.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2898,1800,1788,fde388a840555436,149,149,0,0,86,63,2.8666666666666667,25,49,4.066666666666666,14,true,1098,33,66,66,37,4,2,0,0,2,2,true,480,279.3929530201342,510.03333333333336,951358.6493616104,1229487.6546131559,43.62336986461097,41
profile,tfl-numbat-2019-midweek,early,12,4.966666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2792,1800,1788,0db4ec5e24e7ed35,149,149,0,0,90,59,3,24,50,4.4,9,true,992,33,59,59,39,3,2,0,0,2,2,true,398,268.87964205816553,525.3833333333333,912696.5061981963,1214345.928274968,42.909181848281136,43
profile,tfl-numbat-2019-midweek,early,12,4.966666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,2870,1800,1788,8d13d145a9ef1806,149,149,0,0,90,59,3,25,49,4.333333333333333,10,true,1070,32,62,62,39,4,2,0,0,2,2,true,493,258.22460850111855,521.8833333333333,931467.5918436452,1168388.2324541188,44.358645058650524,41
profile,tfl-numbat-2019-midweek,early,10,5.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,2999,1800,1790,aadad49ab1254db9,179,179,0,0,97,82,3.2333333333333334,27,62,4.666666666666667,20,true,1199,45,83,81,46,5,2,0,0,2,2,true,606,328.22430167597764,622.4333333333333,1145901.4885384447,1413682.9069283984,44.769044949949524,40
profile,tfl-numbat-2019-midweek,early,10,5.966666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,2920,1800,1790,2b255de325ea94d8,179,179,0,0,101,78,3.3666666666666667,23,66,5.2,12,true,1120,43,79,79,49,3,2,0,0,1,2,true,534,303.0037243947858,579.6833333333333,1094618.1970951278,1455101.5826183255,42.93092149985772,42
profile,tfl-numbat-2019-midweek,early,10,5.966666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,3057,1800,1790,26744e71f4c37b72,179,179,0,0,96,83,3.2,27,62,4.6,21,true,1257,42,86,83,45,2,2,0,0,1,2,true,629,308.7925512104283,628.1,1131604.1331345164,1451174.3514191036,43.813441218521334,38
profile,tfl-numbat-2019-midweek,early,8.571429,7,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,3159,1800,1799,3563668f01b58088,210,210,0,0,106,104,3.533333333333333,28,77,5.2,27,true,1359,62,104,100,52,10,2,0,0,1,2,true,757,390.0576984126984,760.8333333333334,1361981.20273822,1711897.3270570834,44.308231100755876,41
profile,tfl-numbat-2019-midweek,early,8.571429,7,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,3103,1800,1799,2c5e275a02e8aba7,210,210,0,0,107,103,3.566666666666667,29,76,5.2,27,true,1303,59,103,102,55,7,2,0,0,2,2,true,695,366.3179365079365,694.1,1294781.7027066743,1715531.7750034393,43.011523959012706,39
profile,tfl-numbat-2019-midweek,early,8.571429,7,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,3097,1800,1799,ddd650abd105cd58,210,210,0,0,105,105,3.5,34,71,4.733333333333333,34,true,1297,54,105,103,53,7,2,0,0,1,2,true,703,354.3023015873016,782.3166666666667,1322121.0729230708,1644290.4200848157,44.569712463676595,37
profile,tfl-numbat-2019-midweek,early,7.5,7.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,3655,1800,1792.5,63b1ce4d79486c0c,239,239,0,0,119,120,3.966666666666667,30,89,5.933333333333334,31,true,1855,75,122,114,59,16,2,0,0,2,2,true,924.5,448.68256624825665,995.6333333333333,1552733.5849905503,2139196.681109833,42.05750036093264,39
profile,tfl-numbat-2019-midweek,early,7.5,7.966666666666667,1,2,on,free-flow,1,0,940GZZLUEUS,0,3900,3276,1800,1792.5,b14207684481cacc,239,239,0,0,119,120,3.966666666666667,34,85,5.666666666666667,35,true,1476,69,122,114,55,12,2,0,0,1,2,true,878.5,432.6276847977685,877.9833333333333,1484643.6865523895,1999873.2952755038,42.60687189343475,39
profile,tfl-numbat-2019-midweek,early,7.5,7.966666666666667,1,3,on,free-flow,1,0,940GZZLUEUS,0,3900,3187,1800,1792.5,93ce2d6fb7cde873,239,239,0,0,118,121,3.933333333333333,35,84,5.533333333333333,37,true,1387,68,125,114,58,10,2,0,0,1,2,true,790.5,402.7559274755928,960.3166666666667,1507923.59335835,1919009.258442924,44.00213422815539,39
profile,tfl-numbat-2019-midweek,early,6.666667,8.966666666666667,1,1,on,free-flow,1,0,940GZZLUEUS,0,3900,3885,1800,1793.3333333333333,4a2c0b0e2de5a8b9,269,269,0,0,123,146,4.1,36,98,5.8,48,true,2085,94,146,114,55,16,2,0,0,2,2,true,1127.6666666666667,522.361833952912,1414,1745027.5897248723,2254027.414101768,43.6359987060713,39
