pattern,request_every_seconds,seed,policy,window_start_seconds,window_end_seconds,schedule_id,scheduled,served,remaining,skipped,wait_average_seconds,wait_maximum_seconds,empty_distance_meters,positioning_moves
balanced,30,1,off,0,900,8a7e12d71f95d9d3,29,9,20,0,288.9890804597701,540,5316.7740030745645,0
balanced,30,1,on,0,900,8a7e12d71f95d9d3,29,10,19,0,276.4034482758621,540,4647.109489464328,1
balanced,30,2,off,0,900,01de0a99226275b5,29,11,18,0,259.50977011494257,493.46666666666664,4100.651708164949,0
balanced,30,2,on,0,900,01de0a99226275b5,29,13,16,0,237.30057471264368,455.01666666666665,3809.8286656083415,1
balanced,30,3,off,0,900,a699070957cf74f3,29,12,17,0,245.94885057471265,510,7152.784220905218,0
balanced,30,3,on,0,900,a699070957cf74f3,29,12,17,0,233.51781609195402,480,7373.849845806108,2
balanced,30,4,off,0,900,ded868937950515b,29,11,18,0,251.5390804597701,480,7656.907046626764,0
balanced,30,4,on,0,900,ded868937950515b,29,12,17,0,246.33275862068965,480,7759.0564461017475,1
balanced,30,5,off,0,900,19ad9fc20bd8cdbd,29,11,18,0,244.48563218390802,510,5413.747846994131,0
balanced,30,5,on,0,900,19ad9fc20bd8cdbd,29,12,17,0,239.39425287356323,499.1,5413.747846994003,1
balanced,30,6,off,0,900,ea620788363f3bd8,29,11,18,0,245.36321839080458,480,5824.0490854650225,0
balanced,30,6,on,0,900,ea620788363f3bd8,29,11,18,0,239.01666666666668,482.85,5824.0490854654,1
balanced,30,7,off,0,900,41c481f770a2decc,29,11,18,0,275.0229885057471,535.4333333333333,4933.747871563505,0
balanced,30,7,on,0,900,41c481f770a2decc,29,11,18,0,261.86896551724135,535.4333333333333,5343.105380668221,1
balanced,30,8,off,0,900,fdf9adf83f79c647,29,11,18,0,251.666091954023,510,5131.8309850870355,0
balanced,30,8,on,0,900,fdf9adf83f79c647,29,11,18,0,241.24540229885056,480,5375.826519869428,1
balanced,30,9,off,0,900,2b4f1a4dd79d0f23,29,10,19,0,263.90402298850574,510,7121.871845361262,0
balanced,30,9,on,0,900,2b4f1a4dd79d0f23,29,11,18,0,252.13045977011495,510,7134.41220098403,1
balanced,30,10,off,0,900,b06fa33bc90a4a89,29,14,15,0,196.40919540229885,433.3833333333333,2437.680009984121,0
balanced,30,10,on,0,900,b06fa33bc90a4a89,29,14,15,0,185.2,393.4,2534.6538539039175,1
balanced,45,1,off,0,900,f9cd8e0d268cd3a8,19,9,10,0,216.87807017543858,397.96666666666664,5316.7740030745645,0
balanced,45,1,on,0,900,f9cd8e0d268cd3a8,19,10,9,0,198.98421052631576,360,4647.10948946433,2
balanced,45,2,off,0,900,ba020631ecc11528,19,10,9,0,177.69561403508771,320.81666666666666,4100.651708164882,0
balanced,45,2,on,0,900,ba020631ecc11528,19,11,8,0,198.40438596491228,330.8,5481.585491910917,2
balanced,45,3,off,0,900,317d3417f38495ad,19,12,7,0,163.02719298245614,315,6743.2925542377525,0
balanced,45,3,on,0,900,317d3417f38495ad,19,12,7,0,136.15877192982455,310.18333333333334,7373.849845806135,2
balanced,45,4,off,0,900,ba3903e1b841829b,19,13,6,0,139.9763157894737,211.2,5715.7244596098935,0
balanced,45,4,on,0,900,ba3903e1b841829b,19,11,8,0,150.1482456140351,281.68333333333334,7753.880890546192,2
balanced,45,5,off,0,900,4d3e8ffc508caa68,19,11,8,0,166.47456140350877,315,6690.4311803287455,0
balanced,45,5,on,0,900,4d3e8ffc508caa68,19,11,8,0,153.94561403508771,315,5329.314358696216,1
balanced,45,6,off,0,900,464a703af29fb3a0,19,11,8,0,155.73333333333332,339.98333333333335,5824.049085464986,0
balanced,45,6,on,0,900,464a703af29fb3a0,19,11,8,0,156.4175438596491,332.23333333333335,5727.075241545029,1
balanced,45,7,off,0,900,4a259e3dc0a450c9,19,9,10,0,196.59122807017545,383.15,4900.01120489684,0
balanced,45,7,on,0,900,4a259e3dc0a450c9,19,8,11,0,227.91052631578947,415.81666666666666,7199.854479387961,2
balanced,45,8,off,0,900,2401f61566b6ebfa,19,11,8,0,161.49035087719298,315,4711.830985086601,0
balanced,45,8,on,0,900,2401f61566b6ebfa,19,11,8,0,146.85701754385963,313.06666666666666,5375.826519869428,2
balanced,45,9,off,0,900,0be5973d6dfee164,19,10,9,0,180.16929824561402,355.23333333333335,7121.871845361351,0
balanced,45,9,on,0,900,0be5973d6dfee164,19,10,9,0,172.61578947368423,335.73333333333335,7218.8456892813465,2
balanced,45,10,off,0,900,97d568731e49b4f4,19,13,6,0,89.28070175438596,225,2437.680009984121,0
balanced,45,10,on,0,900,97d568731e49b4f4,19,12,7,0,131.29210526315788,270,4821.956772772026,2
balanced,60,1,off,0,900,350cc9bf3561ebf1,14,9,5,0,149.12261904761905,240,5045.38564554509,0
balanced,60,1,on,0,900,350cc9bf3561ebf1,14,10,4,0,122.57857142857142,213.68333333333334,4735.827591901207,2
balanced,60,2,off,0,900,afd24af25514effd,14,10,4,0,97.94761904761906,189.08333333333334,3948.3805749501926,0
balanced,60,2,on,0,900,afd24af25514effd,14,10,4,0,128.84880952380954,192.9,5481.5854919112735,2
balanced,60,3,off,0,900,b6ca97805da3e6fc,14,11,3,0,99.45119047619048,199.5,6729.167554237745,0
balanced,60,3,on,0,900,b6ca97805da3e6fc,14,10,4,0,123.55952380952381,221,9113.444317025873,3
balanced,60,4,off,0,900,19ca257bdc6477ce,14,11,3,0,88.47976190476192,148.78333333333333,7296.723107917187,0
balanced,60,4,on,0,900,19ca257bdc6477ce,14,12,2,0,52.4547619047619,180,7955.975812635792,3
balanced,60,5,off,0,900,815ff9d8d79392a8,14,11,3,0,95.16666666666667,180,6203.031025364009,0
balanced,60,5,on,0,900,815ff9d8d79392a8,14,11,3,0,104.98571428571428,198.43333333333334,7637.600539921963,3
balanced,60,6,off,0,900,142bd4baba90e5f1,14,9,5,0,138.8797619047619,283.6666666666667,7959.080871118579,0
balanced,60,6,on,0,900,142bd4baba90e5f1,14,10,4,0,59.51785714285714,170.08333333333334,5671.7779522500405,2
balanced,60,7,off,0,900,b43cfdaabe8f7276,14,8,6,0,130.72976190476192,240,4900.0112048968385,0
balanced,60,7,on,0,900,b43cfdaabe8f7276,14,8,6,0,162.66547619047617,291.3833333333333,7199.854479387932,2
balanced,60,8,off,0,900,2f9d9809024b4817,14,10,4,0,77.73690476190475,144.83333333333334,4512.214318419776,0
balanced,60,8,on,0,900,2f9d9809024b4817,14,10,4,0,79.82738095238095,182.85,6568.1693903454325,2
balanced,60,9,off,0,900,a210dde44b6d9fc6,14,9,5,0,112.27976190476191,218.4,7121.871845361262,0
balanced,60,9,on,0,900,a210dde44b6d9fc6,14,10,4,0,98.06904761904761,218.4,7218.845689281508,2
balanced,60,10,off,0,900,db7cf05d210c6261,14,9,5,0,106.37738095238095,240,7291.737135755286,0
balanced,60,10,on,0,900,db7cf05d210c6261,14,10,4,0,101.16309523809524,188.03333333333333,7066.502757967799,2
destination,30,1,off,0,900,94de021ef735dcd5,29,9,20,0,294.0281609195402,570,15471.951543236266,0
destination,30,1,on,0,900,94de021ef735dcd5,29,10,19,0,286.23793103448276,570,16037.808720490126,1
destination,30,2,off,0,900,a9a86e58212be825,29,9,20,0,312.74655172413793,600,14854.363013162862,0
destination,30,2,on,0,900,a9a86e58212be825,29,9,20,0,307.5741379310345,600,15274.36301316399,1
destination,30,3,off,0,900,01994b7eaa44a1c8,29,10,19,0,289.7545977011494,570,15213.160072183391,0
destination,30,3,on,0,900,01994b7eaa44a1c8,29,10,19,0,284.6706896551724,570,15615.193405516946,1
destination,30,4,off,0,900,0152f61a4aebc62e,29,9,20,0,294.685632183908,570,15850.793014289344,0
destination,30,4,on,0,900,0152f61a4aebc62e,29,10,19,0,282.2304597701149,570,16689.04301429159,2
destination,30,5,off,0,900,7c95ee08d71fcac5,29,9,20,0,315.2931034482759,600,15501.445955269815,0
destination,30,5,on,0,900,7c95ee08d71fcac5,29,9,20,0,310.1206896551724,600,15921.445955270987,1
destination,30,6,off,0,900,db8ad88cccea291b,29,10,19,0,288.4132183908046,570,14889.61860112992,0
destination,30,6,on,0,900,db8ad88cccea291b,29,10,19,0,283.3735632183908,570,15291.651934463467,1
destination,30,7,off,0,900,ef695b0f30190b77,29,9,20,0,314.36034482758623,600,15177.90448421634,0
destination,30,7,on,0,900,ef695b0f30190b77,29,9,20,0,309.18793103448274,600,15597.90448421753,1
destination,30,8,off,0,900,9f8fa0385bed3914,29,9,20,0,316.08965517241376,600,15824.987426323294,0
destination,30,8,on,0,900,9f8fa0385bed3914,29,9,20,0,310.9172413793103,600,16244.987426324473,1
destination,30,9,off,0,900,582bbf40c1666981,29,9,20,0,291.20632183908043,570,14769.568601128833,0
destination,30,9,on,0,900,582bbf40c1666981,29,10,19,0,278.7511494252874,570,15718.418601131058,2
destination,30,10,off,0,900,3c8216bf634cdcee,29,9,20,0,317.2948275862069,600,16148.528897376773,0
destination,30,10,on,0,900,3c8216bf634cdcee,29,9,20,0,312.1224137931034,600,16568.528897377935,1
destination,45,1,off,0,900,dd67cd1f2c4f5749,19,9,10,0,230.09561403508772,421.3833333333333,14841.951543235662,0
destination,45,1,on,0,900,dd67cd1f2c4f5749,19,10,9,0,209.5561403508772,405,15590.27594271177,2
