from,to,early,morning,am_peak,inter_peak,pm_peak,evening,late,night
940GZZLUBBN,940GZZLUALD,0.0,3.22,55.164,143.617,202.204,46.664,13.378,0.0
940GZZLUBBN,940GZZLUADE,0.0,0.196,13.798,53.626,43.873,17.205,5.464,0.0
940GZZLUBBN,940GZZLUAGL,0.0,0.0,0.666,5.828,5.045,0.80799997,0.694,0.0
940GZZLUBBN,940GZZLUBST,0.0,5.234,66.857,184.958,269.745,70.011,22.183,0.0
940GZZLUBBN,940GZZLUBNK,0.0,1.16,26.505,64.38,88.958,24.728,7.443,0.0
940GZZLUBBN,940GZZLUBSC,0.0,0.518,1.426,2.878,4.082,4.595,2.065,0.0
940GZZLUBBN,940GZZLUBWT,0.0,0.378,0.624,8.357,0.0,9.094,2.168,0.0
940GZZLUBBN,940GZZLUBLG,0.0,0.0,4.13,17.394,27.412,13.933,5.799,0.0
940GZZLUBBN,940GZZLUBKF,0.0,0.005,1.278,5.94,6.174,2.224,0.679,0.0
940GZZLUBBN,940GZZLUBND,0.0,0.09,4.584,19.336,11.011,1.095,0.378,0.0
940GZZLUBBN,940GZZLUBOR,0.0,0.136,3.034,8.696,6.712,2.114,0.886,0.0
940GZZLUBBN,940GZZLUCAR,0.0,0.084,3.323,9.749,11.241,8.728,2.308,0.0
940GZZLUBBN,940GZZLUCTN,0.0,0.0,4.928,16.738,19.655,6.553,2.517,0.0
940GZZLUBBN,940GZZLUCST,0.0,0.0,1.844,9.773,15.426,3.583,2.3669999,0.0
940GZZLUBBN,940GZZLUCHL,0.0,0.0,0.486,1.517,0.493,0.120000005,0.414,0.0
940GZZLUBBN,940GZZLUEMB,0.0,0.0050000004,2.6430001,23.378,22.856,5.508,4.346,0.0
940GZZLUBBN,940GZZLUCGN,0.0,0.148,2.583,26.389,23.889,4.907,1.615,0.0
940GZZLUBBN,940GZZLUECT,0.0,0.322,4.163,11.518,11.841,10.142,7.98,0.0
940GZZLUBBN,940GZZLUERC,0.0,0.874,19.144,45.863,72.514,23.605,9.353,0.0
940GZZLUBBN,940GZZLUEAC,0.0,0.056,2.429,13.628,14.886,8.146,5.527,0.0
940GZZLUBBN,940GZZLUEUS,0.0,0.19500001,1.329,9.886,17.705,4.114,0.758,0.0
940GZZLUBBN,940GZZLUESQ,0.0,7.8859997,107.371,304.113,418.042,80.536,23.483,0.0
940GZZLUBBN,940GZZLUFCN,0.0,2.759,64.108,150.136,268.865,85.847,30.497,0.0
